 TIME                    	Twb                      	Tcw                      	Tchw                     	Twind                    	Td                       	Gcw                      	Gchw                     	Qfuhe                    	PUE                      	
 HOURS              	Unit1               	Unit2               	Unit3               	Unit4               	Unit5               	Unit6               	Unit7               	Unit8               	Unit9               	
 8016.00    16.87    18.00    18.00    18.00   -10.00     0.00     0.00    81.00     1.00
 8016.17    -5.17    15.28    16.50    20.26     6.41     1.00     1.00    81.14     1.29
 8016.33    -5.30    15.67    15.95    19.56    16.15     1.00     0.30    81.30     1.19
 8016.50    -5.44    16.02    16.76    26.29    12.55     1.00     0.30    81.48     1.24
 8016.67    -5.57    16.34    18.34    24.95    11.77     1.00     0.83    81.68     1.28
 8016.83    -5.70    16.53    17.68    24.94    11.09     1.00     0.45    81.91     1.25
 8017.00    -5.83    16.63    17.43    25.34    10.87     1.00     0.34    82.17     1.24
 8017.17    -5.93    16.70    17.47    25.52    10.97     1.00     0.33    82.46     1.24
 8017.33    -5.99    16.73    17.38    25.78    10.96     1.00     0.30    82.78     1.24
 8017.50    -6.06    16.75    17.40    25.88    11.08     1.00     0.30    83.14     1.24
 8017.67    -6.12    16.75    17.42    25.94    11.15     1.00     0.30    83.54     1.24
 8017.83    -6.18    16.75    17.42    25.99    11.22     1.00     0.30    83.98     1.24
 8018.00    -6.25    16.74    17.41    26.03    11.28     1.00     0.30    84.47     1.24
 8018.17    -6.31    16.73    17.40    26.07    11.34     1.00     0.30    85.00     1.23
 8018.33    -6.37    16.71    17.39    26.11    11.41     1.00     0.30    85.57     1.23
 8018.50    -6.44    16.70    17.38    26.15    11.48     1.00     0.30    86.19     1.23
 8018.67    -6.52    16.67    17.36    26.19    11.56     1.00     0.30    86.85     1.23
 8018.83    -6.59    16.65    17.35    26.23    11.65     1.00     0.30    87.56     1.23
 8019.00    -6.64    16.63    17.33    26.28    11.73     1.00     0.30    88.31     1.22
 8019.17    -6.67    16.61    17.32    26.33    11.83     1.00     0.30    89.10     1.22
 8019.33    -6.66    16.60    17.31    26.39    11.92     1.00     0.30    89.92     1.22
 8019.50    -6.64    16.59    17.31    26.46    12.02     1.00     0.30    90.76     1.22
 8019.67    -6.61    16.59    17.31    26.54    12.12     1.00     0.30    91.63     1.22
 8019.83    -6.59    16.60    17.33    26.63    12.23     1.00     0.30    92.50     1.21
 8020.00    -6.57    16.61    17.34    26.72    12.33     1.00     0.30    93.38     1.21
 8020.17    -6.60    16.61    17.35    26.81    12.44     1.00     0.30    94.25     1.21
 8020.33    -6.68    16.61    17.36    26.90    12.55     1.00     0.30    95.10     1.21
 8020.50    -6.75    16.61    17.36    26.98    12.65     1.00     0.30    95.92     1.21
 8020.67    -6.83    16.60    17.35    27.06    12.73     1.00     0.30    96.69     1.21
 8020.83    -6.91    16.58    17.35    27.12    12.83     1.00     0.30    97.41     1.20
 8021.00    -6.98    16.57    17.34    27.18    12.92     1.00     0.30    98.05     1.20
 8021.17    -7.03    16.55    17.32    27.22    12.99     1.00     0.30    98.63     1.20
 8021.33    -7.07    16.54    17.31    27.26    13.06     1.00     0.30    99.11     1.20
 8021.50    -7.10    16.52    17.31    27.29    13.12     1.00     0.30    99.49     1.20
 8021.67    -7.13    16.51    17.30    27.32    13.16     1.00     0.30    99.77     1.20
 8021.83    -7.15    16.50    17.29    27.33    13.20     1.00     0.30    99.94     1.20
 8022.00    -7.18    16.49    17.28    27.34    13.22     1.00     0.30   100.00     1.20
 8022.17    -7.18    16.49    17.27    27.33    13.22     1.00     0.30    99.94     1.20
 8022.33    -7.14    16.48    17.27    27.32    13.21     1.00     0.30    99.77     1.20
 8022.50    -7.09    16.48    17.27    27.30    13.19     1.00     0.30    99.50     1.20
 8022.67    -7.05    16.48    17.27    27.28    13.15     1.00     0.30    99.11     1.20
 8022.83    -7.00    16.49    17.27    27.24    13.10     1.00     0.30    98.63     1.20
 8023.00    -6.95    16.50    17.27    27.20    13.04     1.00     0.30    98.06     1.20
 8023.17    -6.93    16.50    17.27    27.15    12.97     1.00     0.30    97.42     1.20
 8023.33    -6.95    16.50    17.27    27.09    12.89     1.00     0.30    96.70     1.21
 8023.50    -6.97    16.50    17.26    27.02    12.80     1.00     0.30    95.93     1.21
 8023.67    -6.95    16.49    17.25    26.94    12.71     1.00     0.30    95.11     1.21
 8023.83    -6.86    16.49    17.24    26.84    12.63     1.00     0.30    94.26     1.21
 8024.00    -6.67    16.51    17.25    26.77    12.52     1.00     0.30    93.39     1.21
 8024.17    -6.41    16.54    17.28    26.71    12.41     1.00     0.30    92.52     1.21
 8024.33    -6.13    16.60    17.33    26.68    12.29     1.00     0.30    91.64     1.22
 8024.50    -5.82    16.68    17.40    26.66    12.17     1.00     0.30    90.77     1.22
 8024.67    -5.47    16.77    17.49    26.67    12.05     1.00     0.30    89.93     1.22
 8024.83    -5.11    16.88    17.59    26.69    11.94     1.00     0.30    89.11     1.22
 8025.00    -4.77    17.01    17.71    26.73    11.83     1.00     0.30    88.32     1.22
 8025.17    -4.44    17.14    17.83    26.78    11.73     1.00     0.30    87.57     1.23
 8025.33    -4.11    17.27    17.96    26.84    11.63     1.00     0.30    86.86     1.23
 8025.50    -3.79    17.41    18.09    26.91    11.54     1.00     0.30    86.20     1.23
 8025.67    -3.48    17.55    18.23    26.98    11.46     1.00     0.30    85.58     1.23
 8025.83    -2.96    17.70    18.37    27.07    11.38     1.00     0.30    85.00     1.23
 8026.00    -2.67    17.85    18.52    27.17    11.30     1.00     0.30    84.48     1.24
 8026.17    -2.39    18.00    18.67    27.27    11.24     1.00     0.30    83.99     1.24
 8026.33    -2.11    18.14    18.81    27.37    11.18     1.00     0.30    83.55     1.24
 8026.50    -1.85    18.28    18.95    27.47    11.13     1.00     0.30    83.15     1.24
 8026.67    -1.61    18.41    19.07    27.56    11.08     1.00     0.30    82.79     1.24
 8026.83    -1.39    18.54    19.20    27.66    11.04     1.00     0.30    82.46     1.24
 8027.00    -1.19    18.66    19.32    27.75    11.00     1.00     0.30    82.17     1.24
 8027.17    -0.97    18.77    19.43    27.84    10.97     1.00     0.30    81.91     1.24
 8027.33    -0.74    18.89    19.54    27.93    10.94     1.00     0.30    81.68     1.24
 8027.50    -0.54    18.99    19.65    28.02    10.91     1.00     0.30    81.48     1.24
 8027.67    -0.37    19.10    19.75    28.10    10.89     1.00     0.30    81.30     1.24
 8027.83    -0.21    19.19    19.84    28.19    10.87     1.00     0.30    81.14     1.24
 8028.00    -0.07    19.28    19.93    28.26    10.85     1.00     0.30    81.00     1.25
 8028.17     0.06    19.34    19.98    28.31    10.82     1.00     0.30    80.88     1.25
 8028.33     0.19    19.38    20.02    28.34    10.81     1.00     0.30    80.77     1.25
 8028.50     0.29    19.42    20.07    28.37    10.80     1.00     0.30    80.68     1.25
 8028.67     0.38    19.46    20.11    28.41    10.79     1.00     0.30    80.59     1.25
 8028.83     0.45    19.51    20.15    28.44    10.78     1.00     0.30    80.52     1.25
 8029.00     0.50    19.54    20.19    28.47    10.77     1.00     0.30    80.46     1.25
 8029.17     0.56    19.58    20.22    28.50    10.77     1.00     0.30    80.41     1.25
 8029.33     0.63    19.61    20.25    28.53    10.76     1.00     0.30    80.36     1.25
 8029.50     0.68    19.64    20.30    28.54    10.77     1.00     0.30    80.32     1.25
 8029.67     0.71    19.67    20.33    28.54    10.76     1.00     0.31    80.28     1.25
 8029.83     0.72    19.69    20.37    28.53    10.76     1.00     0.31    80.25     1.25
 8030.00     0.72    19.71    20.40    28.53    10.76     1.00     0.31    80.22     1.25
 8030.17     0.72    19.72    20.42    28.51    10.76     1.00     0.32    80.20     1.25
 8030.33     0.71    19.72    20.43    28.50    10.76     1.00     0.32    80.18     1.25
 8030.50     0.69    19.73    20.45    28.47    10.76     1.00     0.32    80.16     1.25
 8030.67     0.65    19.72    20.45    28.46    10.75     1.00     0.32    80.15     1.25
 8030.83     0.60    19.72    20.46    28.43    10.76     1.00     0.33    80.13     1.25
 8031.00     0.54    19.70    20.44    28.42    10.75     1.00     0.33    80.12     1.25
 8031.17     0.48    19.69    20.44    28.40    10.78     1.00     0.33    80.11     1.25
 8031.33     0.43    19.67    20.41    28.38    10.75     1.00     0.33    80.10     1.25
 8031.50     0.36    19.64    20.42    28.33    10.79     1.00     0.34    80.09     1.25
 8031.67     0.26    19.62    20.35    28.33    10.74     1.00     0.33    80.09     1.25
 8031.83     0.16    19.58    20.37    28.26    10.79     1.00     0.34    80.08     1.25
 8032.00     0.03    19.54    20.27    28.27    10.74     1.00     0.32    80.07     1.25
 8032.17    -0.10    19.52    20.31    28.19    10.80     1.00     0.34    80.07     1.25
 8032.33    -0.29    19.50    20.23    28.23    10.73     1.00     0.32    80.07     1.25
 8032.50    -0.51    19.46    20.28    28.11    10.81     1.00     0.35    80.06     1.25
 8032.67    -0.75    19.40    20.11    28.15    10.73     1.00     0.32    80.06     1.25
 8032.83    -0.96    19.32    20.12    28.00    10.82     1.00     0.34    80.06     1.25
 8033.00    -1.11    19.24    19.90    28.08    10.71     1.00     0.31    80.06     1.25
 8033.17    -1.17    19.17    19.95    27.89    10.84     1.00     0.34    80.05     1.25
 8033.33    -1.19    19.11    19.75    27.99    10.71     1.00     0.30    80.05     1.25
 8033.50    -1.20    19.07    19.83    27.81    10.80     1.00     0.33    80.05     1.25
 8033.67    -1.21    19.04    19.67    27.90    10.70     1.00     0.30    80.05     1.25
 8033.83    -1.22    19.01    19.74    27.76    10.79     1.00     0.32    80.05     1.25
 8034.00    -1.24    18.98    19.62    27.85    10.70     1.00     0.30    80.05     1.25
 8034.17    -1.32    18.96    19.73    27.69    10.83     1.00     0.33    80.05     1.25
 8034.33    -1.44    18.93    19.57    27.81    10.72     1.00     0.30    80.05     1.25
 8034.50    -1.57    18.89    19.67    27.60    10.85     1.00     0.34    80.05     1.25
 8034.67    -1.70    18.84    19.48    27.72    10.72     1.00     0.30    80.05     1.25
 8034.83    -1.82    18.80    19.60    27.50    10.86     1.00     0.34    80.05     1.25
 8035.00    -1.95    18.75    19.39    27.62    10.72     1.00     0.30    80.06     1.25
 8035.17    -2.05    18.70    19.50    27.39    10.86     1.00     0.34    80.06     1.25
 8035.33    -2.13    18.65    19.29    27.53    10.72     1.00     0.30    80.06     1.25
 8035.50    -2.21    18.61    19.42    27.29    10.86     1.00     0.34    80.06     1.25
 8035.67    -2.29    18.56    19.20    27.44    10.72     1.00     0.30    80.07     1.25
 8035.83    -2.37    18.52    19.36    27.19    10.87     1.00     0.35    80.07     1.25
 8036.00    -2.45    18.49    19.13    27.33    10.70     1.00     0.30    80.07     1.25
 8036.17    -2.56    18.44    19.31    27.06    10.88     1.00     0.36    80.08     1.25
 8036.33    -2.70    18.40    19.05    27.22    10.69     1.00     0.30    80.09     1.25
 8036.50    -2.84    18.35    19.24    26.95    10.89     1.00     0.37    80.09     1.25
 8036.67    -2.98    18.30    18.97    27.10    10.70     1.00     0.31    80.10     1.25
 8036.83    -3.12    18.25    19.14    26.83    10.88     1.00     0.37    80.11     1.25
 8037.00    -3.25    18.19    18.88    26.96    10.71     1.00     0.31    80.12     1.25
 8037.17    -3.35    18.14    19.03    26.72    10.88     1.00     0.37    80.13     1.25
 8037.33    -3.42    18.09    18.80    26.85    10.72     1.00     0.32    80.15     1.25
 8037.50    -3.50    18.04    18.94    26.62    10.87     1.00     0.37    80.16     1.25
 8037.67    -3.57    18.00    18.75    26.71    10.74     1.00     0.33    80.18     1.25
 8037.83    -3.92    17.95    18.85    26.51    10.86     1.00     0.37    80.20     1.25
 8038.00    -4.00    17.89    18.67    26.55    10.78     1.00     0.34    80.22     1.25
 8038.17    -4.07    17.83    18.72    26.40    10.86     1.00     0.37    80.25     1.25
 8038.33    -4.14    17.79    18.61    26.40    10.81     1.00     0.35    80.28     1.25
 8038.50    -4.20    17.74    18.64    26.30    10.85     1.00     0.37    80.32     1.25
 8038.67    -4.27    17.70    18.58    26.26    10.83     1.00     0.36    80.36     1.25
 8038.83    -4.34    17.67    18.59    26.19    10.85     1.00     0.38    80.41     1.25
 8039.00    -4.41    17.63    18.56    26.13    10.85     1.00     0.38    80.46     1.25
 8039.17    -4.50    17.60    18.56    26.04    10.85     1.00     0.39    80.52     1.25
 8039.33    -4.63    17.56    18.54    25.98    10.86     1.00     0.40    80.59     1.25
 8039.50    -4.76    17.51    18.51    25.92    10.87     1.00     0.40    80.68     1.25
 8039.67    -4.90    17.46    18.50    25.85    10.89     1.00     0.41    80.77     1.25
 8039.83    -5.03    17.41    18.48    25.79    10.90     1.00     0.42    80.88     1.25
 8040.00    -5.17    17.36    18.45    25.70    10.91     1.00     0.43    81.00     1.25
 8040.17    -5.32    17.31    18.43    25.62    10.92     1.00     0.44    81.14     1.25
 8040.33    -5.48    17.25    18.41    25.56    10.94     1.00     0.45    81.30     1.25
 8040.50    -5.64    17.19    18.39    25.49    10.96     1.00     0.47    81.48     1.25
 8040.67    -5.80    17.14    18.37    25.42    10.98     1.00     0.48    81.68     1.25
 8040.83    -5.95    17.08    18.35    25.38    11.02     1.00     0.49    81.91     1.25
 8041.00    -6.11    17.02    18.33    25.32    11.07     1.00     0.51    82.17     1.25
 8041.17    -6.25    16.96    18.32    25.26    11.10     1.00     0.53    82.46     1.25
 8041.33    -6.36    16.91    18.32    25.21    11.14     1.00     0.55    82.78     1.25
 8041.50    -6.47    16.85    18.32    25.16    11.19     1.00     0.57    83.14     1.26
 8041.67    -6.59    16.80    18.33    25.12    11.23     1.00     0.60    83.54     1.26
 8041.83    -6.70    16.75    18.34    25.08    11.29     1.00     0.63    83.98     1.26
 8042.00    -6.82    16.70    18.37    25.02    11.33     1.00     0.67    84.47     1.26
 8042.17    -6.93    16.65    18.40    24.99    11.39     1.00     0.71    85.00     1.26
 8042.33    -7.07    16.61    18.44    24.97    11.44     1.00     0.76    85.57     1.26
 8042.50    -7.22    16.56    18.48    24.96    11.52     1.00     0.82    86.19     1.26
 8042.67    -7.37    16.50    18.52    24.95    11.60     1.00     0.88    86.85     1.26
 8042.83    -7.51    16.45    18.57    24.94    11.69     1.00     0.95    87.56     1.26
 8043.00    -7.61    16.41    18.58    24.95    11.77     1.00     1.00    88.31     1.26
 8043.17    -7.67    16.36    18.56    24.97    11.86     1.00     1.00    89.10     1.26
 8043.33    -7.70    16.33    18.54    25.00    11.96     1.00     1.00    89.92     1.26
 8043.50    -7.74    16.30    18.53    25.03    12.06     1.00     1.00    90.76     1.26
 8043.67    -7.78    16.28    18.53    25.08    12.16     1.00     1.00    91.63     1.25
 8043.83    -7.82    16.26    18.53    25.13    12.26     1.00     1.00    92.50     1.25
 8044.00    -7.86    16.25    18.53    25.19    12.37     1.00     1.00    93.38     1.25
 8044.17    -7.89    16.23    18.54    25.25    12.48     1.00     1.00    94.25     1.25
 8044.33    -7.93    16.22    18.54    25.31    12.58     1.00     1.00    95.10     1.25
 8044.50    -7.96    16.21    18.55    25.36    12.69     1.00     1.00    95.92     1.24
 8044.67    -7.99    16.20    18.56    25.42    12.78     1.00     1.00    96.69     1.24
 8044.83    -8.03    16.19    18.56    25.47    12.88     1.00     1.00    97.41     1.24
 8045.00    -8.06    16.18    18.57    25.52    12.97     1.00     1.00    98.05     1.24
 8045.17    -8.13    16.16    18.57    25.57    13.04     1.00     1.00    98.63     1.24
 8045.33    -8.22    16.15    18.57    25.60    13.11     1.00     1.00    99.11     1.24
 8045.50    -8.31    16.13    18.56    25.62    13.17     1.00     1.00    99.49     1.23
 8045.67    -8.39    16.11    18.55    25.63    13.22     1.00     1.00    99.77     1.23
 8045.83    -8.47    16.08    18.53    25.63    13.25     1.00     1.00    99.94     1.23
 8046.00    -8.55    16.06    18.51    25.62    13.27     1.00     1.00   100.00     1.23
 8046.17    -8.64    16.03    18.49    25.60    13.28     1.00     1.00    99.94     1.23
 8046.33    -8.71    16.01    18.46    25.56    13.27     1.00     1.00    99.77     1.23
 8046.50    -8.79    15.98    18.43    25.52    13.25     1.00     1.00    99.50     1.23
 8046.67    -8.87    15.95    18.39    25.47    13.21     1.00     1.00    99.11     1.24
 8046.83    -8.95    15.92    18.35    25.40    13.17     1.00     1.00    98.63     1.24
 8047.00    -9.03    15.89    18.31    25.33    13.11     1.00     1.00    98.06     1.24
 8047.17    -9.08    15.85    18.26    25.25    13.03     1.00     1.00    97.42     1.24
 8047.33    -9.10    15.83    18.22    25.17    12.95     1.00     1.00    96.70     1.24
 8047.50    -9.09    15.80    18.18    25.08    12.86     1.00     1.00    95.93     1.24
 8047.67    -9.07    15.78    18.14    24.99    12.76     1.00     1.00    95.11     1.25
 8047.83    -9.01    15.77    18.11    24.91    12.66     1.00     1.00    94.26     1.25
 8048.00    -8.91    15.77    18.09    24.83    12.55     1.00     1.00    93.39     1.25
 8048.17    -8.79    15.78    18.08    24.76    12.44     1.00     1.00    92.52     1.25
 8048.33    -8.59    15.80    18.08    24.71    12.32     1.00     1.00    91.64     1.25
 8048.50    -8.30    15.85    18.10    24.67    12.20     1.00     1.00    90.78     1.26
 8048.67    -7.98    15.91    18.14    24.66    12.08     1.00     1.00    89.93     1.26
 8048.83    -7.68    16.00    18.20    24.66    11.97     1.00     1.00    89.11     1.26
 8049.00    -7.44    16.09    18.27    24.68    11.86     1.00     1.00    88.32     1.26
 8049.17    -7.28    16.17    18.34    24.70    11.77     1.00     1.00    87.57     1.27
 8049.33    -7.15    16.25    18.40    24.71    11.68     1.00     1.00    86.86     1.27
 8049.50    -7.03    16.32    18.45    24.73    11.59     1.00     1.00    86.20     1.27
 8049.67    -6.91    16.38    18.50    24.74    11.51     1.00     1.00    85.58     1.27
 8049.83    -6.79    16.43    18.55    24.74    11.44     1.00     1.00    85.00     1.27
 8050.00    -6.63    16.49    18.59    24.75    11.37     1.00     1.00    84.48     1.28
 8050.17    -6.47    16.55    18.63    24.77    11.31     1.00     1.00    83.99     1.28
 8050.33    -6.32    16.61    18.68    24.79    11.24     1.00     1.00    83.55     1.28
 8050.50    -6.17    16.67    18.74    24.81    11.19     1.00     1.00    83.15     1.28
 8050.67    -6.03    16.73    18.79    24.84    11.14     1.00     1.00    82.79     1.28
